,release_date,tmdb_id,name,countries,box_office_revenue,genres,composers
0,2009,19995.0,Avatar,"['United States of America', 'United Kingdom']",2782275172.0,"['Thriller', 'Science Fiction', 'Adventure', 'Computer Animation', 'Epic', 'Nature', 'Fantasy', 'Action']","[Composer(id=1729, name='James Horner', birthday='1953-08-14', gender=2, homepage=None, place_of_birth='Los Angeles, California, USA', date_first_appearance='1979-06-01')]"
1,1997,597.0,Titanic,['United States of America'],2185372302.0,"['Tragedy', 'Costume drama', 'Historical fiction', 'Action/Adventure', 'Period piece', 'Drama', 'Disaster', 'Romantic drama', 'Romance Film']","[Composer(id=1729, name='James Horner', birthday='1953-08-14', gender=2, homepage=None, place_of_birth='Los Angeles, California, USA', date_first_appearance='1979-06-01')]"
2,2012,24428.0,The Avengers,['United States of America'],1511757910.0,"['Science Fiction', 'Action']","[Composer(id=37, name='Alan Silvestri', birthday='1950-03-26', gender=2, homepage='https://www.alansilvestri.com', place_of_birth='New York City, New York, USA', date_first_appearance='1972-05-26')]"
3,2011,12445.0,Harry Potter and the Deathly Hallows – Part 2,"['United States of America', 'United Kingdom']",1328111219.0,"['Drama', 'Mystery', 'Fantasy', 'Adventure']","[Composer(id=2949, name='Alexandre Desplat', birthday='1961-08-23', gender=2, homepage='http://www.alexandredesplat.net', place_of_birth='Paris, France', date_first_appearance='1991-08-16')]"
4,2013,68721.0,Iron Man 3,['United States of America'],1215577205.0,"['Science Fiction', 'Action', 'Fantasy', 'Adventure']","[Composer(id=6041, name='Brian Tyler', birthday='1978-05-08', gender=2, homepage=None, place_of_birth=None, date_first_appearance='1998-09-18')]"
5,2012,37724.0,Skyfall,"['United States of America', 'United Kingdom']",1142471295.0,"['Thriller', 'Action', 'Adventure']","[Composer(id=153, name='Thomas Newman', birthday='1955-10-20', gender=2, homepage=None, place_of_birth='Los Angeles, California, USA', date_first_appearance='1984-02-03')]"
6,2011,38356.0,Transformers: Dark of the Moon,['United States of America'],1123746996.0,"['Alien Film', 'Science Fiction', 'Action', 'Adventure']","[Composer(id=18264, name='Steve Jablonsky', birthday='1970-10-09', gender=2, homepage=None, place_of_birth='USA', date_first_appearance='2002-10-24')]"
7,2003,122.0,The Lord of the Rings: The Return of the King,"['United States of America', 'New Zealand']",1119929521.0,"['Fantasy Adventure', 'Adventure', 'Epic', 'Action/Adventure', 'Drama', 'Film adaptation', 'Fantasy', 'Sword and sorcery films']","[Composer(id=117, name='Howard Shore', birthday='1946-10-18', gender=2, homepage='http://www.howardshore.com/', place_of_birth='Toronto, Ontario, Canada', date_first_appearance='1978-09-08')]"
8,2012,49026.0,The Dark Knight Rises,"['United States of America', 'United Kingdom']",1078008948.0,"['Crime Fiction', 'Thriller', 'Action', 'Drama']","[Composer(id=947, name='Hans Zimmer', birthday='1957-09-12', gender=2, homepage='https://hans-zimmer.com', place_of_birth='Frankfurt am Main, Germany', date_first_appearance='1982-01-01')]"
9,2006,58.0,Pirates of the Caribbean: Dead Man's Chest,['United States of America'],1065700000.0,"['Swashbuckler films', 'Fantasy Adventure', 'Adventure', 'Fantasy', 'Adventure Comedy', 'Action']","[Composer(id=947, name='Hans Zimmer', birthday='1957-09-12', gender=2, homepage='https://hans-zimmer.com', place_of_birth='Frankfurt am Main, Germany', date_first_appearance='1982-01-01')]"
