location,country
  United States,United States
" Haverhill, Massachusetts, United States",United States
" Houston, Texas, U.S.",United States
 London ,United Kingdom
" London, Ontario, Canada",Canada
" Los Angeles, California, USA",United States
" Munich, Bavaria, Germany",Germany
" Panama City, Panama",Panama
" San Francisco, California, USA",United States
" Stockholm,  Sweden",Sweden
" Stockholm, Stockholms län, Sweden",Sweden
" Tokyo, Japan",Japan
" Watford, Hertfordshire, England, UK",United Kingdom
"Abbott, Texas, USA",United States
"Aberdeen, South Dakota, USA",United States
"Adelaide, Australia",Australia
"Adelaide, South Australia, Australia",Australia
"Akron, Ohio, USA",United States
"Akureyri, Iceland",Iceland
"Alessandria, Piedmont, Italy",Italy
"Alexandria, Virginia, USA",United States
"Alger, Algeria",Algeria
Algiers,Algeria
"Algiers, Algeria",Algeria
"Almería, Andalucía, Spain",Spain
"Alton, Illinois, USA",United States
"Anaheim, California, USA",United States
"Ankara, Turkey",Turkey
"Antioch, California, USA",United States
"Artemisa, Cuba",Cuba
"Asahikawa, Hokkaido Prefecture, Japan",Japan
"Atami, Shizuoka, Japan",Japan
"Atlanta, Georgia, USA",United States
"Atlantic City, New Jersey, U.S.",United States
"Auckland, New Zealand",New Zealand
"Ballarat, Victoria, Australia",Australia
"Baltimore, Maryland, USA",United States
"Bangalore, India",India
"Bangalore, Karnataka, India",India
"Bari, Italy",Italy
"Bayfield, Wisconsin, USA",United States
"Beaconsfield, Buckinghamshire, England, UK",United Kingdom
"Beirut, Lebanon",Lebanon
"Belfast, Northern Ireland, UK",United Kingdom
Belleville - Illinois - USA,United States
"Bend, Oregon, USA",United States
"Bennington, Omaha, Nebraska, USA",United States
"Berkeley, California, USA",United States
"Berlin, Germany",Germany
"Berlin, West Germany (now Germany)",Germany
"Berne, Switzerland",Switzerland
"Besançon, France",France
"Bexley, Kent, England, UK",United Kingdom
"Bielsko-Biala, Slaskie, Polska",Poland
"Bijnor, Uttar Pradesh, India",India
"Birmingham, England, UK",United Kingdom
"Bishopston, Bristol, England, UK",United Kingdom
"Bloomington, Indiana, USA",United States
"Bollschweil, Germany",Germany
"Bolton, Lancashire, England, UK ",United Kingdom
"Bombay, Maharashtra, India",India
"Boston, Massachusetts, USA",United States
"Boyne City, Michigan, USA",United States
Brazil,Brazil
"Bremen, Germany",Germany
"Breslau, Silesia, Germany [now Wroclaw, Dolnoslaskie, Poland]",Poland
"Brest, France",France
"Bridgeton, New Jersey, USA",United States
"Brighton, Melbourne, Victoria, Australia",Australia
"Brisbane, Queensland, Australia",Australia
"Bristol, England, UK",United Kingdom
"Brixton, London, England, UK",United Kingdom
"Brno, Czech Republic",Czech Republic
"Broadstairs, Kent, England, UK",United Kingdom
"Bromley, England, UK",United Kingdom
"Bromley, Kent, England, UK",United Kingdom
"Bronx, New York City, New York, USA",United States
"Bronx, New York, USA",United States
"Brooklyn, NY",United States
"Brooklyn, New York",United States
"Brooklyn, New York City, New York, USA",United States
"Brooklyn, New York,  USA",United States
"Brooklyn, New York, USA",United States
"Brooklyn, New York, United States",United States
"Bucharest, Romania",Romania
"Budapest, Austria-Hungary [now Hungary]",Hungary
"Budapest, Hungary",Hungary
"Buenos Aires City, Buenos Aires, Argentina",Argentina
"Buenos Aires, Argentina",Argentina
Buffalo - New York - USA,United States
"Buffalo, NY",United States
"Buffalo, New York, USA",United States
Bukarest-Romania,Romania
"Burano, Veneto, Italy",Italy
Burbank - California - USA,United States
"Burlington, Ontario, Canada",Canada
"Burton-on-Trent, Staffordshire, England",United Kingdom
"Bécon-les-Bruyères, Paris, France",France
"Cairo, Egypt",Egypt
"Calgary, Alberta, Canada",Canada
"California, USA",United States
"Calumet, Michigan, USA",United States
"Cambridge, England, UK",United Kingdom
"Cambridge, Massachusetts, USA",United States
"Campobasso, Molise, Italy",Italy
"Cannes, Alpes-Maritimes, France",France
"Canterbury, Kent, England, UK",United Kingdom
"Canton, Ohio, USA",United States
"Carthage, New York, USA",United States
"Changhua, Taiwan",Taiwan
"Chapel Hill, North Carolina, USA",United States
"Chatham, England, UK",United Kingdom
"Chattanooga, Tennessee, USA",United States
"Cheltenham, Gloucestershire, England, UK",United Kingdom
"Chennai, Tamil Nadu, India",India
"Chennai, Tamilnadu,  India",India
"Cheshire, England, UK",United Kingdom
"Chester, Pennsylvania, USA",United States
"Chiba, Japan",Japan
"Chicago, Illinois, U.S",United States
"Chicago, Illinois, USA",United States
"Chichester, Sussex, England, UK",United Kingdom
China,China
"Chiswick, London, England, UK",United Kingdom
"Chobham, Surrey",United Kingdom
"Chobham, Surrey, England, UK",United Kingdom
"Ciboure, Pyrénées-Atlantiques, France",France
"Ciudad Juárez, Chihuahua, Mexico",Mexico
"Cleveland, Ohio, USA",United States
"Coimbatore, Tamilnadu, India",India
"Cologne, Germany",Germany
"Cologne, North Rhine-Westphalia, Germany",Germany
"Connecticut, USA",United States
"Consort, Alberta, Canada",Canada
"Constantinople, Ottoman Empire [now Istanbul, Turkey]",Turkey
"Coral Gables, Florida, USA",United States
"Corby, Northamptonshire, England, UK",United Kingdom
"Coronado, California, USA",United States
"Corvallis, Oregon, USA",United States
"Coventry, West Midlands, England, UK",United Kingdom
"Covington, Tennessee, USA",United States
"Croix-des-Bouquets, Haiti",Haiti
"Crystal Falls, Michigan, USA",United States
"Cumberland, England, UK",United Kingdom
"Cumbria, England, UK",United Kingdom
"Dallas, Texas, USA",United States
"Danbury, Essex, England, UK",United Kingdom
"Dartford, Kent, England, UK",United Kingdom
"Dayton, OH",United States
"Decatur, Georgia, USA",United States
"Delhi, India",India
"Denver, Colorado, USA",United States
"Derry, Northern Ireland, UK",United Kingdom
"Detroit, Michigan, USA",United States
"Diyarbakır, Turkey",Turkey
"Donostia-San Sebastián, Guipúzcoa, País Vasco, Spain",Spain
"Douglas, Isle of Man, UK",Isle of Man
"Dublin, Ireland",Ireland
"Duisburg, Germany",Germany
"Duluth, Minnesota, USA",United States
"Dumbarton, Dunbartonshire, Scotland, UK",United Kingdom
"Durgapur, West Bengal, India",India
"Durham, Hertfordshire, England, UK",United Kingdom
"Dębica, Podkarpackie, Polska",Poland
"East Dereham, Norfolk, England, UK",United Kingdom
"East Godavari, Andhra Pradesh, India",India
"El Palomar, Buenos Aires, Argentina",Argentina
"Elizabeth, New Jersey, USA",United States
"Elk City, Oklahoma, USA",United States
"Elk Grove Village, Illinois, USA",United States
"Enfield, London, England, UK",United Kingdom
"England, UK",United Kingdom
"Eston, Saskatchewan, Canada",Canada
Ethiopia,Ethiopia
"Eureka, California, USA",United States
"Fall River, Massachusetts, United States",United States
"Faxe, Denmark",Denmark
Flint - Michigan - USA,United States
"Florence, Italy",Italy
"Forchheim, Germany",Germany
"Fort Atkinson, Wisconsin, USA",United States
"Fort Campbell, Kentucky, USA",United States
"Fort Scott, Kansas, United States",United States
"Fort Worth, Texas, USA",United States
"Francavilla al Mare, Abruzzo, Italy",Italy
France,France
"Frankfurt am Main, Germany",Germany
"Frankfurt am Main, Hesse, West Germany",Germany
"Frankfurt, Germany",Germany
"Fukuoka Prefecture, Japan",Japan
"Fukushima, Japan",Japan
"Fulda, Germany",Germany
"Fulmer, Buckinghamshire, England, UK",United Kingdom
"Fushimi-ku, Kyoto, Kyoto Prefecture, Japan",Japan
"Gainesville, Florida, USA",United States
"Garfield Heights, Ohio, USA",United States
"Garnant, Carmarthenshire, Wales, UK",United Kingdom
"Gary, Indiana, USA",United States
"Genoa, Liguria, Italy",Italy
"Georgia, USA",United States
"Getxo, Spain",Spain
"Gilve, Poland",Poland
Glasgow - Scotland,Scotland
"Glasgow, Scotland, UK",United Kingdom
"Glen Ellyn, Illinois, USA",United States
"Glen Ridge, New Jersey, USA",United States
"Glendale, California, USA",United States
"Goisern, Austria",Austria
"Gorkiy, RSFSR, USSR",Russia
"Gothenburg, Västra Götalands län, Sweden",Sweden
"Great Bookham, Surrey, England, UK",United Kingdom
"Grosse Pointe, Michigan, USA",United States
"Guadalcanal, Seville, Ispanija",Spain
"Guangzhou, Guangdong, China",China
"Haifa, Israel",Israel
"Hamamatsu, Shizuoka, Japan",Japan
"Hamelin, Lower Saxony, West Germany",Germany
"Hammersmith, London, England, UK",United Kingdom
"Hampstead, London, England, UK",United Kingdom
"Harlem, New York, USA",United States
"Harrisburg, Pennsylvania, USA",United States
"Hartford, Connecticut, USA",United States
"Haslemere, Surrey, England, UK",United Kingdom
"Haslingden, Lancashire, England, UK",United Kingdom
"Hastings, East Sussex, England, UK",United Kingdom
Hattiesburg - Mississippi - USA,United States
"Havana, Cuba",Cuba
"Haverstraw, New York, USA",United States
"Hayward, California, USA",United States
"Heathfield, Sussex, England, UK",United Kingdom
"Helsinki, Finland",Finland
"Heston, Middlesex, England",United Kingdom
"Highbury, London, England, UK",United Kingdom
"Highland Park, Los Angeles, California, USA",United States
"Hillingdon, Middlesex, England, UK",United Kingdom
"Hirosaki, Aomori Prefecture, Japan",Japan
"Houston, Texas, USA",United States
"Hull, Québec, Canada",Canada
"Husum, Germany",Germany
Iceland,Iceland
"Igualada, Barcelona, Catalonia, Spain",Spain
"Ilgın, Konya, Türkiye",Turkey
"Illinois, USA",United States
India,India
"Indiana, USA",United States
"Indianapolis, Indiana, USA",United States
"Inverness, Scotland, UK",United Kingdom
"Iowa City, Iowa, USA",United States
Iran,Iran
"Irving, Texas, USA",United States
"Islington, London, UK",United Kingdom
"Jabalpur, Madhya Pradesh, India",India
"Jalpaiguri, West Bengal, India",India
Japan,Japan
"Jerusalem, Israel",Israel
Johannesburg - South Africa,South Africa
"Johannesburg, South Africa",South Africa
"Kanagawa Prefecture, Japan",Japan
"Kansas City, Kansas, USA",United States
"Kansas City, Missouri, USA",United States
"Karlovy Vary, Czechoslovakia [now Czech Republic]",Czech Republic
"Karuizawa, Nagano Prefecture, Japan",Japan
"Kearny, New Jersey, USA",United States
"Kensington, London, England, UK",United Kingdom
"Kingston upon Thames, England, UK",United Kingdom
"Kingston, Ontario, Canada",Canada
"Kinston, North Carolina, USA",United States
"Kitakyushu, Fukuoka Prefecture, Japan",Japan
"Klein, Texas, USA",United States
"Kobe, Hyōgo, Japan",Japan
"Konin, Wielkopolskie, Poland",Poland
"Kragerø, Norway",Norway
"Kraków, małopolskie, Polska",Poland
"Kremenchuk, Poltava Governorate, Russian Empire [now Ukraine]",Ukraine
"Kushiro, Hokkaidō, Japan",Japan
"Kutch, Gujarat, India",India
"Königshütte, Upper Silesia, Germany [now Chorzów, Slaskie, Poland]",Poland
"Kōbe, Japan",Japan
"La Paz, Bolivia",Bolivia
"Ladbroke Grove, London, England, UK",United Kingdom
"Lake City, Minnesota, USA",United States
"Lawrence, Massachusetts, USA",United States
"Laxou, Meurthe-et-Moselle, France",France
"Le Havre, Seine-Inférieure [now Seine-Maritime], France",France
"Leavenworth, Kansas, USA",United States
"Leeds, Yorkshire, England, UK",United Kingdom
"Leningrad, Russian SFSR, USSR [now St. Petersburg, Russia]",Russia
"Leningrad, USSR [now St. Petersburg, Russia]",Russia
"Lewes, Sussex, England, UK",United Kingdom
"Linköping, Sweden",Sweden
"Linköping, Östergötlands län, Sweden",Sweden
"Linz, Upper Austria, Austria",Austria
"Littleton, Colorado, USA",United States
"Liverpool, England, UK",United Kingdom
"Liverpool, Merseyside, England, United Kingdom",United Kingdom
"Lodève, Hérault, France",France
London,United Kingdom
"London, England",United Kingdom
"London, England, UK",United Kingdom
"London, UK",United Kingdom
"Long Branch, New Jersey, USA",United States
"Long Island, New York, USA",United States
"Lonigo, Veneto, Italy",Italy
"Lorca, Murcia, Spain",Spain
