,id,name,genres,followers,popularity
0,5D3YOC6ffqe2wDikuU9ljG,Riz Ortolani,"['italian soundtrack', 'vintage italian soundtrack']",14239,33
1,6GpgsEqlIVuzffn0ZFyDc4,Len Baldwin,[],1,2
2,0SbSDzM4X41hnlURed0fcV,Carter Burwell,['soundtrack'],71452,49
3,37HpoaMLMpjQPIodvBHhUH,Michael Rohatyn,[],54,0
4,2CtgcgoBZiJqqHDDlDKqlV,Amanda Kravat,[],172,0
5,4zOhshnJo8r5Bk7sw42Rgn,Nathaniel Méchaly,['french soundtrack'],1176,14
6,574GaJ6fESbIpMNPvL61Af,Lennie Niehaus,[],2768,35
7,5agRTZf5eT54uo1Oh1jdEi,Dee Barton,[],1,2
8,4wMTcGiDCOJ5XkpbeyMU3m,Starr Parodi,['new age piano'],489,30
9,2faHhhDBHS27GWypaXDYkc,Xavier Jamaux,[],469,5
10,1PLakF1tFiv9zn73N2UjaN,Chris Cox,"['tribal house', 'vocal house']",2950,39
11,6ZA5nkMYEmF4ujayMIvLCg,Frank Loesser,[],2067,33
12,436qhsK2VNljaXZnEEojjW,James D'Arcy,[],5,2
13,4DzAnwGKdYRVinaiehB2Ux,Jill Fraser,[],15,0
14,1FC0psUheo5L2kUtj53MF9,Barney McAll,['australian jazz'],2212,13
15,3F3rZzKrKFGI2A7PpGAAQa,Gordy Haab,['video game music'],2934,35
16,0sefi9XBCrUE1J8cERywIC,Hans Erdmann,[],10,0
17,4flH4Z1qyVgxyHCFoDLDFO,Jaime Mendoza-Nava,[],37,0
18,2XgdaUWvDI0hCYUpeMJizK,Dick Halligan,[],41,0
19,6MQG9Qgu1mfyG5AdqGWcnU,Mahsun Kırmızıgül,['arabesk'],350923,48
20,5X5cGjYEmKnuihYXEePQcs,Pascal Rogé,"['classical piano', 'french classical piano']",14417,47
21,73JBR5s2PVvUjGu6tIqjqx,Walter Murphy,['hammond organ'],12911,36
22,58v6xhLmTYUipCA4c2RFLd,Bang Jun seok,['korean soundtrack'],1794,24
23,7r7tGGESNaJaftahQxLwaT,Colin Towns,[],756,8
24,50VwXblSjWqTmcDO1OqigH,Britt Daniel,[],1181,11
25,4XVxeuUkJRiCYJYdqRpwab,Stewart Copeland,['rock drums'],16871,31
26,0HXtkeTuIrpcFWhWgZ8jNn,Rod Temperton,[],1392,18
27,40CHf2k8vZGsDRr2FZgLlt,Mark Governor,[],368,21
28,3nHbslrR1NgMqHMTl5VC0d,Alec Puro,[],600,28
29,4PJU5MjzxGw9qTJHALbBOS,Zacarias M. de la Riva,['latin soundtrack'],1090,6
30,35CsFzAi3BR19Ar1wRlPb6,Johnny Klimek,['soundtrack'],4671,41
31,18fJXgyGz8k16MMksol1WQ,Salvador Ferreras,[],12,1
32,3K03NMtKNyd0jemLuLYcLf,Mike Curb,[],66,2
33,12l1SqSNsg2mI2IcXpPWjR,M. M. Keeravani,['vintage tollywood'],2289974,56
34,5LYFoC7xXkcrrv3BcHeaZ5,Peter Schirmann,[],43,0
35,68TpVJzBmxjbEkbIYTdHoN,W. Michael Lewis,[],266,6
36,4eqUmWQwI1nm86edvyGsXy,Sandeep Chowta,[],75633,38
37,4kRPOMgEJ7H7yPmD7jdtvH,Jatin Pandit,[],344,19
38,1dR9JRsUlvNqySZqpfb5oe,David Raksin,['classic soundtrack'],1690,14
39,2v2MGzAuPAANjAfjfDYKf1,Steven A. Jones,[],2,0
40,0dAQpobly61mT1vgaDSzKy,Hiroshi Miyagawa,[],369,16
41,6A3xjYgxZXeCrBWKNxVF23,Lothar Perl,[],0,0
42,2970BxpdOBQmkMit6i9kVF,Deva Premal,['kirtan'],419525,54
43,6OeXRsOwkKH7mUrxhPtaIn,津島利章,[],34,0
44,47zIwPcR0hJHe69d0rHkJJ,Louis St. Louis,[],683,27
45,4GcBbZ5wVhNABLzm4MpJqG,Michael Penn,"['jangle pop', 'power pop']",13315,27
46,72f5AR6hMeL3BwtcO7HqhS,Alison Goldfrapp,['bath indie'],23656,42
47,133I1RKGwL9sKnxHPaXZMc,Renzo Rossellini,[],19,0
